candidate_action_rank,manual_action_group,source_tier,research_lane,scope_id,league_id,team_id,team_name,player_name,issue_type,operator_action,source_priority,official_status,confidence,operator_verify_required,source_domain,source_candidate_url,source_priority_row_ref,source_priority_file,triage_row_ref,triage_file,candidate_entity_id,linked_queue_bucket,render_readiness,next_manual_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
34,gray_area_reputable_media_lead,gray_area_public_lead,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_GRAY_AREA_LEAGUE_BACKUP,gray_area_public_source,low_medium,yes,globalsportsarchive.com,https://globalsportsarchive.com/en/soccer/competition/arkema-premiere-ligue-2025-2026/76150,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=20,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,all_teams_backup,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Park as review-only lead until an official team/league page confirms current roster or player identity.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
35,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,angel_city_fc,Angel City FC,Maithé López,missing_player_profile_candidate,add_candidate_metadata,P0,official_team,high,yes,angelcity.com,https://angelcity.com/acfc-post/angel-city-football-club-loans-forward-maithe-lopez-to-vancouver-rise-fc,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=2,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,angel_city_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
36,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,chicago_stars_fc,Chicago Stars FC,,source_domain_change_candidate,add_source_candidate,P1,official_team,high,yes,chicagostars.com,https://chicagostars.com/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=22,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=14,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,chicago_stars_fc,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
37,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,gotham_fc,Gotham FC,Princess Ademiluyi; Bruna Santos Nhaia,missing_player_profile_candidate; public_display_alias_review,add_candidate_metadata; add_alias_metadata,P1,official_team,high,yes,www.gothamfc.com,https://www.gothamfc.com/roster,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=23,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,gotham_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
38,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,kansas_city_current,Kansas City Current,Kaylin Williams-Mosier,missing_player_profile_candidate,add_candidate_metadata,P1,official_team,high,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team/kaylin-williams-mosier,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=26,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,kansas_city_current,p0_nwsl_roster_verification_first,not_render_ready_review_only,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
39,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,san_diego_wave_fc,San Diego Wave FC,Sandra Paños; Amelia Donna Van Zanten; Gabrielle Jordão Portilho; Ludmila da Silva; Maria Eduarda Rodrigues Silva,missing_player_profile_candidate; public_display_alias_review,add_candidate_metadata; add_alias_metadata,P0; P1,official_team,high,yes,sandiegowavefc.com,https://sandiegowavefc.com/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=12,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=6,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,san_diego_wave_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
40,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,seattle_reign,Seattle Reign,,source_domain_change_candidate,add_source_candidate,P1,official_team,high,yes,www.reignfc.com,https://www.reignfc.com/roster,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=28,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=15,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,seattle_reign,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
41,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,utah_royals_fc,Utah Royals FC,,source_domain_change_candidate,add_source_candidate,P1,official_team,high,yes,www.rsl.com,https://www.rsl.com/utahroyals/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=29,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=16,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,utah_royals_fc,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
42,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,washington_spirit,Washington Spirit,Heather Stainbrook; Tamara Paranaguá do Carmo,missing_player_profile_candidate; public_display_alias_review,add_candidate_metadata; add_alias_metadata,P1,official_team,high,yes,washingtonspirit.com,https://washingtonspirit.com/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=30,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=13,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,washington_spirit,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
43,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,nwsl_all_teams,nwsl_all_teams; nwsl_all_players,,source_url_enrichment_needed; player_profile_candidate_gap,add_source_candidates; enrich_review_metadata_only,P1,official_league,high,yes,www.nwslsoccer.com,https://www.nwslsoccer.com/teams/index,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=31,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,nwsl_league_index,,not_render_ready_review_only,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
44,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,angel_city_fc,Angel City FC,Kennedy Fuller,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,bayfc.com,https://bayfc.com/press-releases/bay-fc-acquire-midfielder-kennedy-fuller-from-angel-city-fc-20260612/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,angel_city_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
45,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,angel_city_fc,Angel City FC,Rajanah Reed,expired_replacement_player_candidate,hold_candidate_for_review,P0,official_team,high,yes,angelcity.com,https://angelcity.com/acfc-post/angel-city-signs-forward-rajanah-reed,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,angel_city_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
46,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,boston_legacy_fc_chicago_stars_fc,Boston Legacy FC / Chicago Stars FC,Sam Cary Angel,loan_duplicate_needs_status_metadata,add_loan_status_metadata,P0,official_team,high,yes,bostonlegacyfc.com,https://bostonlegacyfc.com/blogs/press/boston-legacy-fc-samantha-angel-loan-chicago-stars,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,boston_legacy_fc_chicago_stars_fc,,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
47,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,denver_summit_fc,Denver Summit FC,Lindsey Heaps; Jordan Baggett,missing_player_profile_candidate; stale_player_candidate,add_candidate_metadata; hold_candidate_for_review,P0,official_team,high; medium,yes,www.denversummitfc.com,https://www.denversummitfc.com/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=2,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,denver_summit_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
48,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,gotham_fc,Gotham FC,Lilly Reale,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,www.gothamfc.com,https://www.gothamfc.com/news/gotham-fc-trades-defender-lilly-reale-to-boston-legacy-fc,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=6,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,gotham_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
49,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,houston_dash,Houston Dash,Christen Westphal,stale_player_candidate,hold_candidate_for_review,P0,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/news/houston-dash-host-north-carolina-courage-for-kids-night,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,houston_dash,p0_nwsl_roster_verification_first,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
50,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,houston_dash,Houston Dash,Natalie Bain; Liz Beardsley; Zoe Matthews; Amanda West; Rebeca Costa da Silva; Jyllissa Harris,source_domain_change_candidate; missing_player_profile_candidate; loan_status_missing,add_source_candidate; add_candidate_metadata; add_loan_status_metadata,P1; P0,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=8,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,houston_dash,p0_nwsl_roster_verification_first,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
51,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,houston_dash,Houston Dash,Yazmeen Ryan; Delanie Sheehan,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,www.denversummitfc.com,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=9,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,houston_dash,p0_nwsl_roster_verification_first,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
52,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,kansas_city_current,Kansas City Current,Ally Sentnor,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,angelcity.com,https://angelcity.com/acfc-post/acfc-signs-uswnt-midfielder-ally-sentnor-trade-with-kansas-city-current,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,kansas_city_current,p0_nwsl_roster_verification_first,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
53,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,kansas_city_current,Kansas City Current,Katie Cappelletti; Kyra Carusa; Kelsey Branson; Flora Marta Lacho,stale_or_short_term_candidate,hold_candidate_for_review,P1,official_team,medium,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team; https://www.kansascitycurrent.com/news/kansas-city-current-announces-roster-ahead-of-2026-regular-s,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=25,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,kansas_city_current,p0_nwsl_roster_verification_first,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
54,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,orlando_pride,Orlando Pride,Angelina Alonso Costantino; Luana Bertolucci Paixão; Marta Marta; Rafaelle Leone Carvalho Souza; Jacqueline Ovalle; Oihane Hernández; Kat Asman,public_display_alias_review; loan_status_missing,add_alias_metadata; add_loan_status_metadata,P1,official_team,high,yes,www.orlandocitysc.com,https://www.orlandocitysc.com/pride/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=27,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=12,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,orlando_pride,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
55,duplicate_transfer_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,portland_thorns_fc_utah_royals_fc,Portland Thorns FC / Utah Royals FC,Alexa Spaanstra,loan_duplicate_needs_status_metadata,add_loan_status_metadata,P0,official_team,high,yes,www.thorns.com,https://www.thorns.com/news/forward-alexa-spaanstra-loaned-to-utah-royals-fc,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,portland_thorns_fc_utah_royals_fc,,not_render_ready_review_only,"Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
56,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,arsenal_women,Arsenal Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/arsenal/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=56,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,arsenal_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
57,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,aston_villa_women,Aston Villa Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/aston-villa/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=57,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,aston_villa_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
58,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,brighton_and_hove_albion_women,Brighton & Hove Albion Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/brighton-hove-albion/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=58,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,brighton_and_hove_albion_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
59,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,chelsea_women,Chelsea Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/chelsea/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=59,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,chelsea_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
60,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,everton_women,Everton Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/everton/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=60,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,everton_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
61,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,leicester_city_women,Leicester City Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/leicester-city/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=61,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,leicester_city_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
62,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,liverpool_women,Liverpool Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/liverpool/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=62,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,liverpool_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
63,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,london_city_lionesses,London City Lionesses,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/london-city-lionesses/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=63,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,london_city_lionesses,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
64,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,manchester_city_women,Manchester City Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/manchester-city/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=64,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,manchester_city_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
65,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,manchester_united_women,Manchester United Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/manchester-united/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=65,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,manchester_united_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
66,future_quarantine_download_intake_prep,official_source_candidate,europe_official_source_map,europe_top_flight,wsl_england,tottenham_hotspur_women,Tottenham Hotspur Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/tottenham-hotspur/squad,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=66,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,tottenham_hotspur_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
